n,m,p,w,optimal_solution,calc_time,gap,cuts,objective_value
10,9,1.0,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,1.0,1,integer optimal solution,0.01600000006146729,0.0,0,0.0
10,9,1.0,1,integer optimal solution,0.015999999945051968,0.0,0,0.0
10,9,1.0,1,integer optimal solution,0.015000000013969839,0.0,0,0.0
10,9,1.0,10,integer infeasible,0.03100000007543713,,,
10,9,1.0,10,integer infeasible,0.0470000000204891,,,
10,9,1.0,10,integer infeasible,0.01600000006146729,,,
10,9,1.0,10,integer infeasible,0.01600000006146729,,,
10,9,1.0,10,integer infeasible,0.015000000013969839,,,
10,9,1.0,10,integer infeasible,0.030999999959021807,,,
10,9,1.0,10,integer infeasible,0.015999999945051968,,,
10,9,1.0,10,integer infeasible,0.015999999945051968,,,
10,9,1.0,10,integer infeasible,0.015000000013969839,,,
10,9,1.0,10,integer infeasible,0.03100000007543713,,,
10,9,1.0,5,integer optimal solution,0.1559999999590218,0.0,0,21.0
10,9,1.0,5,integer optimal solution,0.09299999999348074,0.0,0,16.0
10,9,1.0,5,integer optimal solution,0.15700000000651926,0.0,0,33.0
10,9,1.0,5,integer optimal solution,0.1720000000204891,0.0,0,20.0
10,9,1.0,5,integer optimal solution,0.15600000007543713,0.0,0,28.0
10,9,1.0,5,integer optimal solution,0.17199999990407377,0.0,0,35.0
10,9,1.0,5,integer optimal solution,0.2029999999795109,0.0,0,31.0
10,9,1.0,5,integer optimal solution,0.1720000000204891,0.0,0,24.0
10,9,1.0,5,integer optimal solution,0.1559999999590218,0.0,0,26.0
10,9,1.0,5,integer optimal solution,0.062000000034458935,0.0,0,14.0
20,3,0.6,1,integer infeasible,0.030999999959021807,,,
20,3,0.6,1,integer infeasible,0.0,,,
20,3,0.6,1,integer infeasible,0.015999999945051968,,,
20,3,0.6,1,integer infeasible,0.0,,,
20,3,0.6,1,integer infeasible,0.015999999945051968,,,
20,3,0.6,1,integer infeasible,0.0,,,
20,3,0.6,1,integer infeasible,0.01600000006146729,,,
20,3,0.6,1,integer infeasible,0.015000000013969839,,,
